rep_id,rep_name,territory_id,hcp_id,activity_type,activity_date,duration_minutes,samples_left,outcome
REP-024,Komal Dubey,TER-09,HCP-0232,Virtual Meeting,2024-01-01,45,0,Neutral
REP-033,Ajay Sen,TER-14,HCP-0351,Sample Drop,2024-01-01,37,8,Follow-up Required
REP-024,Komal Dubey,TER-09,HCP-0238,Visit,2024-01-01,27,3,Positive
REP-026,Shruti Saxena,TER-10,HCP-0243,Conference,2024-01-01,30,0,Follow-up Required
REP-010,Anjali Mehta,TER-04,HCP-0111,Phone Call,2024-01-01,19,0,Positive
REP-004,Neha Gupta,TER-02,HCP-0042,Visit,2024-01-01,42,6,Positive
REP-045,Mohan Narayan,TER-18,HCP-0451,Visit,2024-01-01,19,9,Positive
REP-021,Rahul Shetty,TER-08,HCP-0212,Virtual Meeting,2024-01-01,74,0,Follow-up Required
REP-004,Neha Gupta,TER-02,HCP-0064,Sample Drop,2024-01-01,59,10,Positive
REP-039,Pradeep Shah,TER-16,HCP-0401,Phone Call,2024-01-01,53,0,Positive
REP-037,Naveen Deshpande,TER-15,HCP-0384,Phone Call,2024-01-01,59,0,Positive
REP-014,Meera Das,TER-05,HCP-0130,Sample Drop,2024-01-01,30,2,Positive
REP-016,Swati Chauhan,TER-06,HCP-0159,Sample Drop,2024-01-01,25,8,No Show
REP-042,Chitra Krishnan,TER-17,HCP-0417,Virtual Meeting,2024-01-01,58,0,Positive
REP-009,Deepak Joshi,TER-03,HCP-0076,Sample Drop,2024-01-01,21,3,Follow-up Required
REP-006,Sunita Reddy,TER-02,HCP-0044,Visit,2024-01-01,70,3,Positive
REP-046,Isha Prasad,TER-19,HCP-0475,Phone Call,2024-01-01,35,0,Neutral
REP-013,Rohit Banerjee,TER-05,HCP-0151,Conference,2024-01-01,41,0,No Show
REP-002,Priya Patel,TER-01,HCP-0004,Virtual Meeting,2024-01-02,59,0,Declined Meeting
REP-006,Sunita Reddy,TER-02,HCP-0051,Virtual Meeting,2024-01-02,64,0,Positive
REP-047,Gopal Srivastava,TER-19,HCP-0460,Phone Call,2024-01-02,21,0,Positive
REP-045,Mohan Narayan,TER-18,HCP-0447,Virtual Meeting,2024-01-02,30,0,Declined Meeting
REP-036,Tanvi Patil,TER-15,HCP-0369,Sample Drop,2024-01-02,29,11,Neutral
REP-030,Rashmi Bose,TER-12,HCP-0313,Conference,2024-01-02,17,0,Positive
REP-035,Ravi Ghosh,TER-14,HCP-0364,Visit,2024-01-02,54,11,Neutral
REP-038,Smita Jain,TER-16,HCP-0398,Virtual Meeting,2024-01-02,50,0,Positive
REP-024,Komal Dubey,TER-09,HCP-0241,Sample Drop,2024-01-02,46,10,No Show
REP-038,Smita Jain,TER-16,HCP-0407,Phone Call,2024-01-02,31,0,Positive
REP-008,Kavita Nair,TER-03,HCP-0072,Visit,2024-01-02,56,5,Neutral
REP-012,Pooja Iyer,TER-04,HCP-0119,Visit,2024-01-02,28,8,No Show
REP-003,Amit Kumar,TER-01,HCP-0001,Visit,2024-01-02,75,12,Positive
REP-012,Pooja Iyer,TER-04,HCP-0124,Conference,2024-01-02,35,0,Positive
REP-004,Neha Gupta,TER-02,HCP-0058,Phone Call,2024-01-02,60,0,Positive
REP-020,Sneha Deshmukh,TER-08,HCP-0205,Sample Drop,2024-01-02,26,11,Neutral
REP-017,Anand Yadav,TER-06,HCP-0163,Sample Drop,2024-01-02,35,7,No Show
REP-014,Meera Das,TER-05,HCP-0130,Visit,2024-01-02,50,1,No Show
REP-042,Chitra Krishnan,TER-17,HCP-0424,Phone Call,2024-01-02,29,0,Positive
REP-042,Chitra Krishnan,TER-17,HCP-0420,Visit,2024-01-02,33,1,Follow-up Required
REP-015,Nikhil Mishra,TER-06,HCP-0169,Visit,2024-01-02,65,1,Neutral
REP-006,Sunita Reddy,TER-02,HCP-0051,Virtual Meeting,2024-01-02,29,0,Positive
REP-046,Isha Prasad,TER-19,HCP-0477,Sample Drop,2024-01-02,51,8,Follow-up Required
REP-020,Sneha Deshmukh,TER-08,HCP-0206,Visit,2024-01-02,53,2,Follow-up Required
REP-024,Komal Dubey,TER-09,HCP-0232,Virtual Meeting,2024-01-03,24,0,Positive
REP-012,Pooja Iyer,TER-04,HCP-0105,Visit,2024-01-03,58,7,No Show
REP-034,Varsha Roy,TER-14,HCP-0346,Visit,2024-01-03,16,2,Positive
REP-033,Ajay Sen,TER-14,HCP-0354,Sample Drop,2024-01-03,24,1,No Show
REP-022,Shreya Menon,TER-09,HCP-0236,Visit,2024-01-03,36,3,Declined Meeting
REP-042,Chitra Krishnan,TER-17,HCP-0425,Phone Call,2024-01-03,53,0,Neutral
REP-023,Pranav Tiwari,TER-09,HCP-0222,Virtual Meeting,2024-01-03,22,0,Neutral
REP-039,Pradeep Shah,TER-16,HCP-0404,Conference,2024-01-03,26,0,Positive
REP-023,Pranav Tiwari,TER-09,HCP-0238,Sample Drop,2024-01-03,31,10,Positive
REP-049,Tarun Agarwal,TER-20,HCP-0482,Visit,2024-01-03,37,3,Declined Meeting
REP-006,Sunita Reddy,TER-02,HCP-0042,Visit,2024-01-03,41,5,Positive
REP-040,Bhavna Thakur,TER-16,HCP-0407,Sample Drop,2024-01-03,27,8,Neutral
REP-020,Sneha Deshmukh,TER-08,HCP-0193,Sample Drop,2024-01-03,32,3,Positive
REP-028,Pallavi Kapoor,TER-11,HCP-0288,Visit,2024-01-03,49,4,Declined Meeting
REP-041,Sameer Rajan,TER-17,HCP-0416,Conference,2024-01-03,47,0,Positive
REP-003,Amit Kumar,TER-01,HCP-0012,Sample Drop,2024-01-03,54,5,Positive
REP-039,Pradeep Shah,TER-16,HCP-0397,Sample Drop,2024-01-03,68,1,Positive
REP-010,Anjali Mehta,TER-04,HCP-0117,Phone Call,2024-01-03,46,0,Positive
REP-025,Gaurav Pandey,TER-10,HCP-0272,Visit,2024-01-03,17,3,Positive
REP-009,Deepak Joshi,TER-03,HCP-0094,Virtual Meeting,2024-01-03,23,0,Neutral
REP-036,Tanvi Patil,TER-15,HCP-0375,Visit,2024-01-03,37,0,Positive
REP-010,Anjali Mehta,TER-04,HCP-0123,Phone Call,2024-01-03,50,0,Neutral
REP-013,Rohit Banerjee,TER-05,HCP-0140,Virtual Meeting,2024-01-03,25,0,Declined Meeting
REP-035,Ravi Ghosh,TER-14,HCP-0363,Conference,2024-01-04,20,0,Follow-up Required
REP-028,Pallavi Kapoor,TER-11,HCP-0288,Phone Call,2024-01-04,44,0,Positive
REP-002,Priya Patel,TER-01,HCP-0022,Sample Drop,2024-01-04,17,2,Positive
REP-045,Mohan Narayan,TER-18,HCP-0440,Sample Drop,2024-01-04,16,11,Positive
REP-050,Lakshmi Pillai,TER-20,HCP-0498,Visit,2024-01-04,54,0,Positive
REP-007,Sanjay Verma,TER-03,HCP-0080,Virtual Meeting,2024-01-04,38,0,Follow-up Required
REP-011,Arun Rao,TER-04,HCP-0115,Virtual Meeting,2024-01-04,52,0,Positive
REP-010,Anjali Mehta,TER-04,HCP-0108,Conference,2024-01-04,17,0,Positive
REP-031,Harsh Mukherjee,TER-13,HCP-0337,Visit,2024-01-04,27,7,Positive
REP-038,Smita Jain,TER-16,HCP-0408,Phone Call,2024-01-04,56,0,Positive
REP-037,Naveen Deshpande,TER-15,HCP-0393,Phone Call,2024-01-04,43,0,Follow-up Required
REP-043,Arjun Subramaniam,TER-17,HCP-0432,Visit,2024-01-04,49,6,Positive
REP-045,Mohan Narayan,TER-18,HCP-0451,Conference,2024-01-04,38,0,Neutral
REP-044,Heena Venkatesh,TER-18,HCP-0451,Visit,2024-01-04,51,15,Positive
REP-007,Sanjay Verma,TER-03,HCP-0071,Visit,2024-01-04,52,1,Neutral
REP-008,Kavita Nair,TER-03,HCP-0085,Visit,2024-01-04,19,10,Positive
REP-042,Chitra Krishnan,TER-17,HCP-0420,Visit,2024-01-04,27,2,Follow-up Required
REP-031,Harsh Mukherjee,TER-13,HCP-0317,Visit,2024-01-04,39,6,Positive
REP-039,Pradeep Shah,TER-16,HCP-0413,Virtual Meeting,2024-01-04,36,0,No Show
REP-021,Rahul Shetty,TER-08,HCP-0211,Sample Drop,2024-01-04,67,5,Positive
REP-048,Kalpana Khanna,TER-20,HCP-0496,Visit,2024-01-04,53,8,Positive
REP-030,Rashmi Bose,TER-12,HCP-0304,Visit,2024-01-05,30,10,Positive
REP-036,Tanvi Patil,TER-15,HCP-0369,Visit,2024-01-05,54,4,Positive
REP-050,Lakshmi Pillai,TER-20,HCP-0482,Phone Call,2024-01-05,28,0,Positive
REP-020,Sneha Deshmukh,TER-08,HCP-0218,Visit,2024-01-05,49,5,Neutral
REP-018,Divya Bhat,TER-07,HCP-0178,Conference,2024-01-05,13,0,Declined Meeting
REP-049,Tarun Agarwal,TER-20,HCP-0484,Phone Call,2024-01-05,42,0,Positive
REP-049,Tarun Agarwal,TER-20,HCP-0491,Virtual Meeting,2024-01-05,59,0,Positive
REP-001,Rajesh Sharma,TER-01,HCP-0028,Virtual Meeting,2024-01-05,24,0,Declined Meeting
REP-030,Rashmi Bose,TER-12,HCP-0311,Sample Drop,2024-01-05,42,10,Positive
REP-019,Vivek Kulkarni,TER-07,HCP-0175,Phone Call,2024-01-05,32,0,Neutral
REP-050,Lakshmi Pillai,TER-20,HCP-0487,Sample Drop,2024-01-05,33,2,Follow-up Required
REP-041,Sameer Rajan,TER-17,HCP-0434,Sample Drop,2024-01-05,28,4,Positive
REP-025,Gaurav Pandey,TER-10,HCP-0257,Visit,2024-01-05,51,10,Neutral
REP-004,Neha Gupta,TER-02,HCP-0047,Visit,2024-01-05,51,6,Follow-up Required
REP-037,Naveen Deshpande,TER-15,HCP-0384,Visit,2024-01-05,50,10,Positive
REP-038,Smita Jain,TER-16,HCP-0412,Sample Drop,2024-01-05,74,9,Positive
REP-012,Pooja Iyer,TER-04,HCP-0121,Phone Call,2024-01-05,19,0,No Show
REP-031,Harsh Mukherjee,TER-13,HCP-0320,Phone Call,2024-01-05,17,0,Declined Meeting
REP-010,Anjali Mehta,TER-04,HCP-0104,Phone Call,2024-01-05,33,0,Neutral
REP-045,Mohan Narayan,TER-18,HCP-0440,Visit,2024-01-05,30,11,Positive
REP-018,Divya Bhat,TER-07,HCP-0174,Phone Call,2024-01-06,13,0,Neutral
REP-024,Komal Dubey,TER-09,HCP-0221,Visit,2024-01-06,39,8,Positive
REP-035,Ravi Ghosh,TER-14,HCP-0351,Virtual Meeting,2024-01-06,35,0,Follow-up Required
REP-014,Meera Das,TER-05,HCP-0145,Visit,2024-01-06,39,9,Neutral
REP-008,Kavita Nair,TER-03,HCP-0071,Phone Call,2024-01-06,53,0,Positive
REP-010,Anjali Mehta,TER-04,HCP-0104,Phone Call,2024-01-06,39,0,Positive
REP-027,Kiran Malhotra,TER-11,HCP-0291,Sample Drop,2024-01-06,50,9,Neutral
REP-034,Varsha Roy,TER-14,HCP-0360,Phone Call,2024-01-06,49,0,Positive
REP-041,Sameer Rajan,TER-17,HCP-0417,Conference,2024-01-06,46,0,Follow-up Required
REP-003,Amit Kumar,TER-01,HCP-0033,Visit,2024-01-06,72,12,Follow-up Required
REP-014,Meera Das,TER-05,HCP-0137,Phone Call,2024-01-06,15,0,Neutral
REP-037,Naveen Deshpande,TER-15,HCP-0374,Phone Call,2024-01-06,26,0,Neutral
REP-001,Rajesh Sharma,TER-01,HCP-0002,Conference,2024-01-06,19,0,Neutral
REP-014,Meera Das,TER-05,HCP-0146,Visit,2024-01-06,22,11,Neutral
REP-024,Komal Dubey,TER-09,HCP-0235,Sample Drop,2024-01-06,26,1,Positive
REP-048,Kalpana Khanna,TER-20,HCP-0483,Visit,2024-01-08,49,10,Positive
REP-026,Shruti Saxena,TER-10,HCP-0261,Visit,2024-01-08,32,2,Positive
REP-023,Pranav Tiwari,TER-09,HCP-0228,Sample Drop,2024-01-08,19,8,Positive
REP-022,Shreya Menon,TER-09,HCP-0236,Sample Drop,2024-01-08,17,3,Positive
REP-029,Siddharth Chopra,TER-12,HCP-0309,Virtual Meeting,2024-01-08,49,0,Follow-up Required
REP-029,Siddharth Chopra,TER-12,HCP-0297,Visit,2024-01-08,58,5,Positive
REP-029,Siddharth Chopra,TER-12,HCP-0297,Phone Call,2024-01-08,19,0,Neutral
REP-009,Deepak Joshi,TER-03,HCP-0086,Sample Drop,2024-01-08,59,0,Neutral
REP-049,Tarun Agarwal,TER-20,HCP-0490,Visit,2024-01-08,59,14,Positive
REP-026,Shruti Saxena,TER-10,HCP-0256,Virtual Meeting,2024-01-08,30,0,Declined Meeting
REP-003,Amit Kumar,TER-01,HCP-0028,Sample Drop,2024-01-08,67,10,Follow-up Required
REP-020,Sneha Deshmukh,TER-08,HCP-0211,Visit,2024-01-08,44,11,Neutral
REP-019,Vivek Kulkarni,TER-07,HCP-0186,Virtual Meeting,2024-01-08,31,0,Follow-up Required
REP-050,Lakshmi Pillai,TER-20,HCP-0499,Visit,2024-01-08,27,0,No Show
REP-010,Anjali Mehta,TER-04,HCP-0123,Phone Call,2024-01-08,28,0,Neutral
REP-045,Mohan Narayan,TER-18,HCP-0438,Visit,2024-01-09,22,3,Positive
REP-030,Rashmi Bose,TER-12,HCP-0301,Virtual Meeting,2024-01-09,54,0,Positive
REP-042,Chitra Krishnan,TER-17,HCP-0420,Phone Call,2024-01-09,31,0,Positive
REP-006,Sunita Reddy,TER-02,HCP-0041,Sample Drop,2024-01-09,40,8,Positive
REP-027,Kiran Malhotra,TER-11,HCP-0290,Phone Call,2024-01-09,47,0,Positive
REP-006,Sunita Reddy,TER-02,HCP-0067,Sample Drop,2024-01-09,30,3,Positive
REP-049,Tarun Agarwal,TER-20,HCP-0480,Virtual Meeting,2024-01-09,64,0,Follow-up Required
REP-019,Vivek Kulkarni,TER-07,HCP-0188,Visit,2024-01-09,31,7,Declined Meeting
REP-048,Kalpana Khanna,TER-20,HCP-0486,Virtual Meeting,2024-01-09,60,0,Positive
REP-007,Sanjay Verma,TER-03,HCP-0072,Visit,2024-01-09,54,10,Positive
REP-011,Arun Rao,TER-04,HCP-0104,Phone Call,2024-01-09,38,0,No Show
REP-040,Bhavna Thakur,TER-16,HCP-0412,Sample Drop,2024-01-09,41,8,Positive
REP-038,Smita Jain,TER-16,HCP-0415,Sample Drop,2024-01-09,74,2,Follow-up Required
REP-028,Pallavi Kapoor,TER-11,HCP-0285,Conference,2024-01-09,24,0,Neutral
REP-001,Rajesh Sharma,TER-01,HCP-0030,Virtual Meeting,2024-01-09,26,0,Declined Meeting
REP-029,Siddharth Chopra,TER-12,HCP-0306,Phone Call,2024-01-09,55,0,Follow-up Required
REP-044,Heena Venkatesh,TER-18,HCP-0444,Visit,2024-01-09,31,10,No Show
REP-023,Pranav Tiwari,TER-09,HCP-0223,Virtual Meeting,2024-01-09,58,0,Positive
REP-033,Ajay Sen,TER-14,HCP-0352,Visit,2024-01-09,57,12,Follow-up Required
REP-023,Pranav Tiwari,TER-09,HCP-0227,Visit,2024-01-09,52,11,No Show
REP-004,Neha Gupta,TER-02,HCP-0055,Phone Call,2024-01-09,65,0,Positive
REP-004,Neha Gupta,TER-02,HCP-0048,Visit,2024-01-09,28,6,Neutral
REP-036,Tanvi Patil,TER-15,HCP-0384,Phone Call,2024-01-10,34,0,Positive
REP-026,Shruti Saxena,TER-10,HCP-0267,Visit,2024-01-10,29,11,No Show
REP-016,Swati Chauhan,TER-06,HCP-0170,Conference,2024-01-10,13,0,Neutral
REP-007,Sanjay Verma,TER-03,HCP-0076,Visit,2024-01-10,28,3,Neutral
REP-032,Aparna Chatterjee,TER-13,HCP-0342,Sample Drop,2024-01-10,51,11,Follow-up Required
REP-029,Siddharth Chopra,TER-12,HCP-0309,Conference,2024-01-10,43,0,Positive
REP-002,Priya Patel,TER-01,HCP-0033,Virtual Meeting,2024-01-10,42,0,Neutral
REP-011,Arun Rao,TER-04,HCP-0103,Phone Call,2024-01-10,29,0,Positive
REP-016,Swati Chauhan,TER-06,HCP-0159,Phone Call,2024-01-10,39,0,Neutral
REP-049,Tarun Agarwal,TER-20,HCP-0496,Visit,2024-01-10,29,9,No Show
REP-036,Tanvi Patil,TER-15,HCP-0383,Visit,2024-01-10,26,7,Neutral
REP-041,Sameer Rajan,TER-17,HCP-0423,Visit,2024-01-10,40,12,Positive
REP-046,Isha Prasad,TER-19,HCP-0479,Visit,2024-01-10,22,2,Positive
REP-015,Nikhil Mishra,TER-06,HCP-0163,Visit,2024-01-10,32,15,Positive
REP-028,Pallavi Kapoor,TER-11,HCP-0285,Phone Call,2024-01-10,10,0,Neutral
REP-045,Mohan Narayan,TER-18,HCP-0439,Virtual Meeting,2024-01-10,26,0,Positive
REP-039,Pradeep Shah,TER-16,HCP-0405,Sample Drop,2024-01-10,38,13,Positive
REP-011,Arun Rao,TER-04,HCP-0120,Phone Call,2024-01-10,33,0,Declined Meeting
REP-011,Arun Rao,TER-04,HCP-0102,Sample Drop,2024-01-10,39,5,Declined Meeting
REP-011,Arun Rao,TER-04,HCP-0125,Visit,2024-01-10,45,0,Follow-up Required
REP-020,Sneha Deshmukh,TER-08,HCP-0205,Conference,2024-01-10,26,0,Positive
REP-036,Tanvi Patil,TER-15,HCP-0388,Visit,2024-01-10,24,7,Positive
REP-003,Amit Kumar,TER-01,HCP-0031,Phone Call,2024-01-10,52,0,Positive
REP-001,Rajesh Sharma,TER-01,HCP-0030,Phone Call,2024-01-10,39,0,Neutral
REP-039,Pradeep Shah,TER-16,HCP-0404,Phone Call,2024-01-10,74,0,Positive
REP-034,Varsha Roy,TER-14,HCP-0344,Phone Call,2024-01-10,21,0,Neutral
REP-008,Kavita Nair,TER-03,HCP-0081,Sample Drop,2024-01-10,26,12,Declined Meeting
REP-012,Pooja Iyer,TER-04,HCP-0114,Phone Call,2024-01-10,51,0,Follow-up Required
REP-027,Kiran Malhotra,TER-11,HCP-0282,Virtual Meeting,2024-01-10,33,0,Neutral
REP-041,Sameer Rajan,TER-17,HCP-0416,Sample Drop,2024-01-10,28,12,Neutral
REP-050,Lakshmi Pillai,TER-20,HCP-0486,Visit,2024-01-11,37,0,Positive
REP-017,Anand Yadav,TER-06,HCP-0159,Virtual Meeting,2024-01-11,41,0,No Show
REP-006,Sunita Reddy,TER-02,HCP-0057,Visit,2024-01-11,59,10,Positive
REP-014,Meera Das,TER-05,HCP-0146,Visit,2024-01-11,45,10,Neutral
REP-004,Neha Gupta,TER-02,HCP-0050,Visit,2024-01-11,66,5,Neutral
REP-044,Heena Venkatesh,TER-18,HCP-0437,Virtual Meeting,2024-01-11,30,0,Neutral
REP-025,Gaurav Pandey,TER-10,HCP-0259,Sample Drop,2024-01-11,52,10,Follow-up Required
REP-041,Sameer Rajan,TER-17,HCP-0428,Phone Call,2024-01-11,23,0,Positive
REP-002,Priya Patel,TER-01,HCP-0031,Visit,2024-01-11,47,1,No Show
REP-015,Nikhil Mishra,TER-06,HCP-0160,Conference,2024-01-11,26,0,Positive
REP-004,Neha Gupta,TER-02,HCP-0058,Sample Drop,2024-01-11,61,13,Positive
REP-010,Anjali Mehta,TER-04,HCP-0123,Virtual Meeting,2024-01-11,22,0,Positive
REP-050,Lakshmi Pillai,TER-20,HCP-0487,Virtual Meeting,2024-01-11,32,0,Neutral
REP-046,Isha Prasad,TER-19,HCP-0458,Conference,2024-01-11,24,0,Declined Meeting
REP-025,Gaurav Pandey,TER-10,HCP-0255,Visit,2024-01-11,22,11,Positive
REP-030,Rashmi Bose,TER-12,HCP-0306,Conference,2024-01-11,25,0,Positive
REP-021,Rahul Shetty,TER-08,HCP-0206,Visit,2024-01-11,50,14,Positive
REP-021,Rahul Shetty,TER-08,HCP-0211,Sample Drop,2024-01-11,26,2,Neutral
REP-016,Swati Chauhan,TER-06,HCP-0170,Phone Call,2024-01-11,21,0,Positive
REP-031,Harsh Mukherjee,TER-13,HCP-0319,Visit,2024-01-11,32,6,Positive
REP-041,Sameer Rajan,TER-17,HCP-0432,Visit,2024-01-11,47,10,Positive
REP-016,Swati Chauhan,TER-06,HCP-0158,Phone Call,2024-01-11,46,0,Neutral
REP-039,Pradeep Shah,TER-16,HCP-0413,Visit,2024-01-11,53,3,Positive
REP-007,Sanjay Verma,TER-03,HCP-0092,Phone Call,2024-01-11,21,0,Positive
REP-045,Mohan Narayan,TER-18,HCP-0447,Visit,2024-01-11,56,2,No Show
REP-022,Shreya Menon,TER-09,HCP-0224,Visit,2024-01-11,20,4,Neutral
REP-047,Gopal Srivastava,TER-19,HCP-0472,Phone Call,2024-01-11,51,0,Positive
